Country,Local partner,Project title,Axis of intervention,Direct beneficiaries,Indirect beneficiaries,Region,Voted Year project budget €,Project share % out of all budget,Voted Year country budget €,Country share % out of all budget,Project financing (as per the 2016-2020 cooperation agreement),Final_result,Year
Burkina Faso,AAB-FFL,Dedougou young gardeners,Education,The young people undertaking the training,"The local population, more specifically the teenagers' families","Dédougou (Mouhoun province, west of the country)",54340,0.01591985813338052,541122,0.1585,Ministry of Foreign Affairs and foundation's funds,,2020
Burkina Faso,AAB-FFL,Fight against female genital mutilations,Protection,The women and girls in the provinces,The local populations,Sissili and Tuy Provinces,73799,0.021620714213937228,541122,0.1585,Ministry of Foreign Affairs and foundation's funds,,2020
Burkina Faso,AAB-FFL,Comprehensive and adapted care of mine-working children in Tougouri,Protection,The children being cared for,"The local population, more specifically the children families","Tougouri (Namentenga province, North-East of the country)",117794,0.03450982276340495,541122,0.1585,Ministry of Foreign Affairs and foundation's funds,,2020
Burkina Faso,AAB-FFL,Community health program,Health,The people being cared for in the health structures,The local populations,Across the country,295189,0.08648080608271003,541122,0.1585,Ministry of Foreign Affairs and foundation's funds,,2020
Ivory Coast,AME,Socio-professional integration of female youth in Bouaké,Education,The teenage girls undertaking a training,"The local population, more specifically the teenage girls' families","Kaloukro (Gbêkê region, center of the country)",26695,0.007820769467622248,120223,0.0352,Ministry of Foreign Affairs and foundation's funds,,2020
Ivory Coast,AME,Comprehensive and adapted care of Bouaké street children,Protection,The children being cared for,"The local population, more specifically the children families","Bouaké (Gbêkê region, center of the country)",93528,0.027400671540279965,120223,0.0352,Ministry of Foreign Affairs and foundation's funds,,2020
Guinea-Conakry,APROSCO,Reinforcing capabilities in the screening and treatment of tropical skin ulcers,Health,The people benefiting from screening and treatment,The local populations,N’Zérékoré,40000,0.011718703079411499,40000,0.011718703079411499,Foundation's funds,,2020
Madagascar,Les Sœurs de Saint-Paul de Chartres,Screening and Treatment of Neglected Tropical Diseases,Health,The people benefiting from screening and treatment,The local populations,Amoron’i Mania (center of the country),20000,0.005859351539705749,20000,0.0059,Foundation's funds,,2020
Mali,COFESFA,Raising awarenss among communities against Female Genital Mutilations,Protection,The women and girls in the provinces,The local populations,Cercle de Kati,48000,0.014062443695293797,682660,0.19999724610477632,Ministry of Foreign Affairs and foundation's funds,,2020
Mali,COFESFA,"Enabling and promoting female, maternal and infant health",Health,The women and children being cared for in the health structures,The local populations,Cercle de Kati and Dioila,282705,0.08282339885162569,682660,0.19999724610477632,Ministry of Foreign Affairs and foundation's funds,,2020
Mali,AP-FFL,Comprehensive and adapted care of Ségou street children,Protection,The children being cared for,"The local population, more specifically the children families",Ségou region,72000,0.021093665542940697,682660,0.19999724610477632,Ministry of Foreign Affairs and foundation's funds,,2020
Mali,AP-FFL,Community health program,Health,The people being cared for in the health structures,The local populations,Ségou region,279955,0.08201773801491614,682660,0.19999724610477632,Ministry of Foreign Affairs and foundation's funds,,2020
Central African Republic,FAIRMED,Enabling and promoting health for the Lobaye population,Health,The people being cared for in the health structures,The local populations,Lobaye region,219000,0.06415989935977795,419000,0.1228,Ministry of Foreign Affairs and foundation's funds,,2020
Central African Republic,FAIRMED,Humanitarian Aid,Emergency,The people being cared for in the health structures,The local populations,Prefectures of Ombella-M’poko and Lobaye,200000,0.05859351539705749,419000,0.1228,Ministry of Foreign Affairs,,2020
Democratic Republic of the Congo,SUMEDCO,Polyclinic in Mbuji-Mayi,Health,The people being cared for in the health structures,The local populations,"Mbuji-Mayi, administrative center of Kasaï Oriental province",205000,0.06005835328198393,205000,0.06005835328198393,Ministry of Foreign Affairs and foundation's funds,,2020
Togo,AAT-FFL,Mind the Gap,Education,The students in the recipient schools,The local populations,Maritime and Plateaux regions,15000,0.0043945136547793116,679898,0.1992,Foundation's funds,,2020
Togo,AAT-FFL,Community health program,Health,The people being cared for in the health structures,The local populations,"Agou, Kpélè and Zio prefectures (maritime and plateaux region)",664898,0.19479355600236367,679898,0.1992,Ministry of Foreign Affairs and foundation's funds,,2020
